playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
3DoublesPlayer,15,9,5295,4300,3274,3159,2945,3364,3105,2838,5028,4910,3006,4813,5388,2292,1456,1413,1394,1115,669,386,210,65,9000
7DoublesPlayer,15,9,5623,3933,665,637,698,2947,1290,662,1441,4888,659,4299,5675,889,283,545,1204,1779,1279,1475,1131,415,9000
AdversarialLeader,15,9,5393,3962,1055,999,1045,3032,1626,923,1665,5280,990,3927,5506,624,468,797,1366,1909,1291,1541,932,72,9000
1/2PlayersPlayer,15,9,5339,4952,2099,2194,2166,3966,2870,2034,3062,5336,2201,4659,5288,1123,1026,1209,1841,2592,882,226,75,26,9000
OpTwoPlayer,20,3,300,463,177,174,153,333,154,157,246,467,166,455,493,1046,1646,308,,,,,,,3000
LastBankingPlayer,20,3,493,448,148,169,167,307,165,170,264,490,164,501,288,1068,1638,294,,,,,,,3000
200PotPlayer,20,3,365,341,379,338,313,249,252,342,231,392,290,311,353,1703,750,547,,,,,,,3000
1000PotPlayer,20,3,465,459,264,291,251,316,211,220,240,453,269,384,428,1690,871,439,,,,,,,3000
7RollsPlayer,20,3,311,335,336,238,328,218,274,174,246,365,322,286,304,1468,801,731,,,,,,,3000
14RollsPlayer,20,3,364,413,275,255,234,254,304,201,212,392,227,275,314,1387,946,667,,,,,,,3000
1/3RandomPlayer,20,3,295,295,356,163,241,194,264,183,205,384,204,252,284,1283,754,963,,,,,,,3000
1/6RandomPlayer,20,3,310,323,336,204,149,220,234,132,243,386,156,275,340,1237,834,929,,,,,,,3000
1/12RandomPlayer,20,3,303,321,150,161,175,198,208,122,175,390,128,236,298,1003,859,1138,,,,,,,3000
3DoublesPlayer,20,3,418,409,285,255,232,282,287,236,272,418,258,406,445,1683,837,480,,,,,,,3000
7DoublesPlayer,20,3,480,487,58,70,73,233,76,69,107,322,80,362,512,863,1203,934,,,,,,,3000
AdversarialLeader,20,3,455,463,212,195,211,371,238,206,303,467,189,328,501,1362,1415,223,,,,,,,3000
1/2PlayersPlayer,20,3,463,350,173,168,173,330,267,169,253,460,172,463,448,1041,1807,152,,,,,,,3000
OpTwoPlayer,20,4,712,869,248,283,231,603,290,228,354,862,250,737,945,867,1256,1499,378,,,,,,4000
LastBankingPlayer,20,4,945,825,213,252,257,591,283,240,383,894,227,736,682,852,1229,1514,405,,,,,,4000
200PotPlayer,20,4,755,666,689,604,638,483,568,728,470,750,647,667,737,1908,1007,664,421,,,,,,4000
1000PotPlayer,20,4,890,756,510,532,539,740,460,466,481,812,497,673,900,1825,1010,761,404,,,,,,4000
7RollsPlayer,20,4,693,560,692,575,590,428,477,342,450,830,712,585,699,1569,1063,800,568,,,,,,4000
14RollsPlayer,20,4,745,713,522,456,430,501,716,339,429,789,404,620,725,1392,1205,803,600,,,,,,4000
1/3RandomPlayer,20,4,661,466,664,354,544,424,480,329,383,785,385,578,693,1314,992,820,874,,,,,,4000
1/6RandomPlayer,20,4,658,478,607,428,337,465,505,317,379,815,351,614,702,1250,1045,816,889,,,,,,4000
1/12RandomPlayer,20,4,718,490,345,282,320,402,426,235,336,784,242,575,740,982,1056,837,1125,,,,,,4000
3DoublesPlayer,20,4,807,731,641,549,526,533,505,446,724,828,545,727,822,1818,1117,696,369,,,,,,4000
7DoublesPlayer,20,4,902,653,124,132,152,437,197,150,206,696,145,616,940,789,931,1121,1159,,,,,,4000
AdversarialLeader,20,4,907,792,400,371,337,608,438,332,461,893,318,569,882,1079,1415,1241,265,,,,,,4000
1/2PlayersPlayer,20,4,849,684,483,445,459,716,659,477,604,927,510,776,828,1212,2089,603,96,,,,,,4000
OpTwoPlayer,20,5,1198,1457,231,302,307,792,399,254,433,1480,283,1111,1578,606,780,1753,1555,306,,,,,5000
LastBankingPlayer,20,5,1578,1441,258,271,285,824,379,267,403,1426,274,1147,1260,615,817,1681,1540,347,,,,,5000
200PotPlayer,20,5,1338,1083,1166,1062,1090,821,941,1238,780,1358,967,1222,1301,2099,1286,755,603,257,,,,,5000
1000PotPlayer,20,5,1487,1295,818,780,806,1262,756,770,841,1355,828,1189,1512,1903,1107,1059,648,283,,,,,5000
7RollsPlayer,20,5,1258,1028,1103,937,987,770,881,597,737,1337,1358,1140,1211,1757,1304,876,652,411,,,,,5000
14RollsPlayer,20,5,1289,1223,854,711,709,850,1190,622,728,1376,686,1122,1301,1466,1276,1146,677,435,,,,,5000
1/3RandomPlayer,20,5,1315,958,1021,608,884,724,864,496,657,1383,631,1179,1287,1384,1317,892,736,671,,,,,5000
1/6RandomPlayer,20,5,1282,1004,1026,672,613,744,866,498,604,1301,585,1083,1270,1258,1292,970,700,780,,,,,5000
1/12RandomPlayer,20,5,1298,1019,625,498,553,766,693,374,579,1364,449,1085,1290,962,1232,1140,769,897,,,,,5000
3DoublesPlayer,20,5,1407,1240,1020,891,915,897,886,760,1230,1332,839,1256,1424,1912,1338,947,541,262,,,,,5000
7DoublesPlayer,20,5,1593,1294,190,224,220,767,323,227,369,1182,202,996,1541,715,701,1499,1167,918,,,,,5000
AdversarialLeader,20,5,1483,1302,512,457,480,935,571,352,537,1408,429,913,1576,717,1123,1765,1188,207,,,,,5000
1/2PlayersPlayer,20,5,1443,1266,603,587,616,1053,777,558,764,1526,523,1161,1459,837,1353,2204,521,85,,,,,5000
OpTwoPlayer,20,6,2024,1496,272,301,327,1091,389,273,474,2195,292,1682,2405,449,538,1390,1368,1918,337,,,,6000
LastBankingPlayer,20,6,2405,1491,281,341,338,1097,473,265,486,2132,314,1673,1842,475,528,1337,1354,1932,374,,,,6000
200PotPlayer,20,6,2036,1572,1707,1613,1531,1243,1394,1990,1218,1979,1517,1785,2116,2156,1448,1127,674,400,195,,,,6000
1000PotPlayer,20,6,2317,1720,1292,1241,1273,1902,1164,1091,1266,2086,1209,1806,2261,2085,1154,1168,734,615,244,,,,6000
7RollsPlayer,20,6,2023,1422,1725,1365,1476,1071,1285,860,1049,1968,1976,1721,1978,1749,1359,1136,880,570,306,,,,6000
14RollsPlayer,20,6,2033,1629,1265,1065,1077,1276,1882,949,1093,1966,1074,1662,2019,1477,1307,1309,912,626,369,,,,6000
1/3RandomPlayer,20,6,1924,1199,1542,1001,1313,1026,1253,745,1017,2055,992,1817,2004,1338,1316,1070,1004,716,556,,,,6000
1/6RandomPlayer,20,6,2014,1250,1506,1019,924,1137,1277,776,1067,1973,884,1758,1969,1218,1322,1162,1021,648,629,,,,6000
1/12RandomPlayer,20,6,2043,1146,989,780,832,1037,1052,589,888,2052,665,1672,2069,917,1109,1233,1162,770,809,,,,6000
3DoublesPlayer,20,6,2122,1681,1471,1309,1347,1343,1332,1161,1856,2016,1283,1871,2114,2003,1328,1173,790,480,226,,,,6000
7DoublesPlayer,20,6,2402,1376,331,342,319,1078,477,320,504,1928,315,1521,2353,767,550,1131,1163,1512,877,,,,6000
AdversarialLeader,20,6,2273,1617,708,637,639,1261,795,522,728,2107,584,1479,2265,704,869,1487,1374,1410,156,,,,6000
1/2PlayersPlayer,20,6,2151,1928,1135,1110,1069,1653,1389,1061,1325,2136,1068,1848,2122,1130,1335,2355,837,266,77,,,,6000
OpTwoPlayer,20,7,2808,2487,312,311,326,1406,483,285,556,2893,325,2267,3289,346,335,968,1844,1365,1863,279,,,7000
LastBankingPlayer,20,7,3289,2451,302,353,288,1457,481,291,588,2944,312,2369,2772,373,347,962,1829,1378,1833,278,,,7000
200PotPlayer,20,7,2999,2219,2403,2223,2128,1710,1935,2704,1755,2783,2012,2656,3120,2332,1549,1241,805,617,297,159,,,7000
1000PotPlayer,20,7,3260,2585,1794,1805,1721,2852,1601,1580,1770,2788,1620,2688,3129,2189,1206,1204,1153,648,458,142,,,7000
7RollsPlayer,20,7,2878,2023,2386,2002,2017,1617,1756,1312,1502,2811,2854,2634,2968,1844,1525,1339,966,694,429,203,,,7000
14RollsPlayer,20,7,3003,2350,1805,1537,1624,1711,2862,1290,1624,2848,1409,2543,2883,1554,1413,1400,1183,756,439,255,,,7000
1/3RandomPlayer,20,7,2919,2032,2195,1419,1732,1409,1728,1057,1295,2776,1261,2541,2967,1261,1353,1366,1038,923,576,483,,,7000
1/6RandomPlayer,20,7,3035,2048,2087,1425,1392,1578,1745,1063,1452,2907,1234,2558,2928,1320,1306,1322,1082,973,522,475,,,7000
1/12RandomPlayer,20,7,2941,2024,1347,1060,1196,1503,1467,842,1271,2881,921,2497,2957,919,1100,1372,1182,1117,625,685,,,7000
3DoublesPlayer,20,7,3032,2380,1997,1943,1816,1869,1840,1595,2736,2794,1740,2706,2964,2014,1381,1425,1039,618,370,153,,,7000
7DoublesPlayer,20,7,3210,2321,465,529,413,1473,636,461,741,2726,487,2275,3285,855,383,843,1592,1213,1403,711,,,7000
AdversarialLeader,20,7,3067,2546,756,772,683,1713,890,592,935,2946,681,2251,3180,632,600,1157,1868,1337,1314,92,,,7000
1/2PlayersPlayer,20,7,3105,2688,1276,1301,1227,2134,1572,1164,1584,3016,1274,2545,3109,895,1031,1560,2487,800,169,58,,,7000
OpTwoPlayer,20,8,3768,2287,317,331,332,1687,494,336,557,3846,333,3173,4380,318,235,607,1409,1153,2087,1901,290,,8000
LastBankingPlayer,20,8,4380,2257,293,335,351,1703,576,312,625,3842,334,3154,3852,310,208,627,1462,1205,2068,1862,258,,8000
200PotPlayer,20,8,4057,2670,3191,2989,2895,2167,2640,3798,2163,3699,2582,3690,4026,2267,1617,1385,1106,818,474,245,88,,8000
1000PotPlayer,20,8,4310,3143,2411,2448,2416,3702,2133,2092,2258,3783,2236,3443,4287,2380,1238,1127,1181,758,756,429,131,,8000
7RollsPlayer,20,8,3885,2398,3109,2698,2549,2023,2459,1735,1914,3712,3888,3491,4097,1714,1610,1424,1209,922,601,376,144,,8000
14RollsPlayer,20,8,4050,2950,2372,1912,2125,2486,3852,1711,1957,3798,2006,3444,3888,1676,1342,1349,1304,961,773,377,218,,8000
1/3RandomPlayer,20,8,3960,2330,3010,1860,2348,1910,2283,1410,1891,3741,1746,3503,3934,1344,1284,1298,1195,1125,831,507,416,,8000
1/6RandomPlayer,20,8,3999,2289,2779,1929,1860,2032,2281,1472,1877,3637,1764,3588,4004,1192,1252,1410,1199,1209,864,454,420,,8000
1/12RandomPlayer,20,8,4110,2156,1873,1397,1558,1940,1987,1129,1541,3791,1258,3409,3995,908,974,1250,1258,1243,1174,585,608,,8000
3DoublesPlayer,20,8,4126,3046,2819,2514,2528,2542,2455,2202,3874,3662,2404,3613,4218,2195,1515,1365,1289,759,517,256,104,,8000
7DoublesPlayer,20,8,4333,2370,643,648,655,1991,804,652,917,3876,620,3115,4332,955,332,588,1300,1097,1682,1484,562,,8000
AdversarialLeader,20,8,4295,2586,932,889,887,2166,1100,785,1093,3927,864,2965,4287,612,485,876,1624,1314,1774,1216,99,,8000
1/2PlayersPlayer,20,8,4130,3852,2144,2138,2004,3062,2428,1952,2473,3847,2007,3565,4039,1288,1150,1570,2550,1011,258,126,47,,8000
OpTwoPlayer,20,9,4850,3545,315,326,298,2044,607,285,615,4889,289,4197,5765,236,145,423,1042,1944,1309,1976,1719,206,9000
LastBankingPlayer,20,9,5765,3537,295,274,301,2064,606,252,645,4819,244,4168,4886,209,134,464,1050,1878,1343,1960,1751,211,9000
200PotPlayer,20,9,5258,3616,4084,3784,3772,2871,3452,4960,2835,4823,3393,4799,5365,2423,1737,1474,1276,851,665,343,160,71,9000
1000PotPlayer,20,9,5441,4328,3168,3149,3009,5004,2741,2847,2928,4745,2937,4762,5424,2529,1307,1163,1192,1167,679,567,325,71,9000
7RollsPlayer,20,9,5404,3417,3899,3321,3427,2563,3151,2140,2535,4787,5014,4723,5310,1791,1683,1551,1302,1067,773,471,237,125,9000
14RollsPlayer,20,9,5367,3959,3097,2600,2677,3120,4778,2128,2638,4877,2483,4595,5368,1775,1262,1396,1440,1262,874,558,291,142,9000
1/3RandomPlayer,20,9,5189,3325,3696,2540,3112,2425,3009,1831,2329,4699,2257,4561,5327,1288,1321,1408,1349,1160,1010,741,404,319,9000
1/6RandomPlayer,20,9,5199,3359,3559,2509,2549,2553,2873,1811,2310,4672,2206,4523,5324,1193,1242,1380,1414,1148,1090,789,419,325,9000
1/12RandomPlayer,20,9,5218,3193,2572,1859,2104,2502,2517,1444,2048,4850,1672,4459,5199,927,907,1257,1424,1250,1200,1082,446,507,9000
3DoublesPlayer,20,9,5271,4025,3570,3313,3205,3181,3181,2739,4976,4841,2975,4779,5370,2171,1606,1538,1334,961,663,440,205,82,9000
7DoublesPlayer,20,9,5536,3707,750,804,835,2537,1050,881,1252,4918,791,4116,5472,1065,290,425,908,1721,1171,1641,1330,449,9000
AdversarialLeader,20,9,5605,3846,1062,958,1035,2736,1211,858,1293,5053,921,3847,5563,581,413,650,1253,1923,1383,1697,1049,51,9000
1/2PlayersPlayer,20,9,5456,4834,2340,2315,2267,3745,2633,2020,2782,5226,2177,4486,5400,1175,960,1114,1707,2727,949,248,91,29,9000
