playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
AdversarialLeader,10,6,2302,1765,662,508,580,1597,1033,618,1103,2181,465,1618,2272,767,1035,1657,1348,1062,131,,,,6000
1/2PlayersPlayer,10,6,2168,2062,1076,943,957,1866,1550,1130,1582,2211,1030,1948,2178,1168,1523,2408,680,185,36,,,,6000
OpTwoPlayer,10,7,2870,2682,297,268,293,2045,1070,388,1112,3015,262,2474,3267,411,577,1281,1875,1282,1379,195,,,7000
LastBankingPlayer,10,7,3267,2639,284,273,249,2037,1018,355,1137,3161,258,2486,2726,377,535,1306,1912,1305,1383,182,,,7000
200PotPlayer,10,7,3108,2384,2418,1990,2024,1915,2085,2940,1908,3021,1857,2746,3003,2340,1732,1244,814,520,241,109,,,7000
1000PotPlayer,10,7,3164,2817,1237,1393,1285,2870,1720,1442,2083,3011,1242,2626,3156,1961,1099,1229,1320,683,543,165,,,7000
7RollsPlayer,10,7,2940,2282,2371,1890,1995,1992,1998,1422,1668,3003,2776,2674,3046,2056,1685,1267,868,653,318,153,,,7000
14RollsPlayer,10,7,3139,2635,1554,1308,1418,2223,2862,1357,1876,2964,1366,2550,3075,1628,1467,1466,1182,728,358,171,,,7000
1/3RandomPlayer,10,7,2898,2139,2306,1459,1868,2009,1859,1244,1614,3070,1376,2611,2939,1684,1478,1277,930,751,498,382,,,7000
1/6RandomPlayer,10,7,2970,2217,2046,1427,1372,2006,1890,1160,1662,3060,1260,2606,3043,1465,1409,1413,1049,828,429,407,,,7000
1/12RandomPlayer,10,7,3027,2233,1404,1048,1197,2080,1721,890,1573,3033,929,2519,3052,1057,1257,1504,1186,977,551,468,,,7000
